ID;gebied;knp;x-coord;y-coord;mv;;;;;
*KNP;;200187;96091090;437401530;-1.73;;;0;;
*KNP;;200818;95959680;437450750;-1.83;;;0;;
*KNP;;200817;95991860;437444560;-1.79;;;0;;
*KNP;;200814;95829500;437485780;-1.81;;;0;;
*KNP;;200803;95722030;437488501;-1.25;;;0;;
*KNP;;200872;95905080;437485332;-1.45;;;0;;
*KNP;;201795;95893530;437490480;-1.57;;;0;;
*KNP;;201796;95818750;437508560;-2.10;;;0;;
*KNP;;201799;95761976;437522724;-1.97;;;0;;
*KNP;;201800;95743757;437532021;-1.28;;;0;;
*KNP;;201801;95733137;437534871;-1.33;;;0;;
*KNP;;203417;95481900;436672470;3.40;;;0;;
*KNP;;205976;95441770;436697440;3.91;;;0;;
*KNP;;201547;95934610;436704840;3.72;;;0;;
*KNP;;201509;95371900;437271000;-0.85;;;0;;
*KNP;;201896;95572813;437290762;-1.21;;;0;;
*KNP;;201536;95999971;437015604;0.12;;;0;;
*KNP;;201546;95941018;436732680;3.88;;;0;;
*KNP;;201545;95946960;436761280;3.87;;;0;;
*KNP;;201542;95973750;436803880;4.21;;;0;;
*KNP;;201540;95969620;436884040;3.17;;;0;;
*KNP;;201209;95475920;436810000;3.08;;;0;;
*KNP;;205975;95443710;436697040;3.91;;;0;;
*KNP;;203409;95318537;436726703;4.29;;;0;;
*KNP;;203416;95484890;436679280;3.38;;;0;;
*KNP;;200098;95901074;437496586;-1.83;;;0;;
*KNP;;200099;95914150;437528880;-1.79;;;0;;
*KNP;;200100;95930340;437569200;-1.79;;;0;;
*KNP;;200102;95956260;437615800;-1.92;;;0;;
*KNP;;200103;95968133;437645408;-1.88;;;0;;
*KNP;;200107;95966300;437676880;-1.91;;;0;;
*KNP;;200108;95988998;437715102;-1.85;;;0;;
*KNP;;200110;96008600;437763880;-1.96;;;0;;
*KNP;;200111;96023540;437801320;-1.74;;;0;;
*KNP;;200113;95959353;437557723;-1.62;;;0;;
*KNP;;200115;96001250;437540880;-1.64;;;0;;
*KNP;;200119;96020460;437589640;-2.13;;;0;;
*KNP;;200120;96026640;437586960;-1.99;;;0;;
*KNP;;200121;96049740;437644880;-1.86;;;0;;
*KNP;;200122;96043520;437647200;-1.99;;;0;;
*KNP;;200123;96014280;437592000;-1.97;;;0;;
*KNP;;200124;96037330;437649680;-1.78;;;0;;
*KNP;;200127;96064472;437699908;-1.57;;;0;;
*KNP;;200129;96099796;437787327;-1.56;;;0;;
*KNP;;201206;95479532;436824056;2.74;;;0;;
*KNP;;200954;95450115;436747427;3.82;;;0;;
*KNP;;200951;95493200;436818160;2.58;;;0;;
*KNP;;200141;95713593;437241571;-1.97;;;0;;
*KNP;;200157;95745069;437228930;-1.98;;;0;;
*KNP;;200168;95787785;437213645;-1.87;;;0;;
*KNP;;200170;95793654;437225830;-3.16;;;0;;
*KNP;;200171;95842691;437201471;-1.79;;;0;;
*KNP;;200174;95858517;437206502;-1.99;;;0;;
*KNP;;200175;95859772;437209673;-2.86;;;0;;
*KNP;;200178;95954792;437167406;-1.76;;;0;;
*KNP;;200181;95772449;437290945;-1.67;;;0;;
*KNP;;200182;95750153;437299783;-1.64;;;0;;
*KNP;;200192;95859261;437262603;-1.79;;;0;;
*KNP;;200193;95870528;437270941;-1.83;;;0;;
*KNP;;200194;95929168;437230045;-2.02;;;0;;
*KNP;;200196;95970682;437219945;-1.73;;;0;;
*KNP;;200197;95935469;437245381;-1.81;;;0;;
*KNP;;200198;95922065;437249966;-1.82;;;0;;
*KNP;;201459;95797300;437826120;-1.77;;;0;;
*KNP;;201460;95811239;437859156;-1.81;;;0;;
*KNP;;201463;95825750;437892480;-1.80;;;0;;
*KNP;;201462;95823540;437879360;-1.53;;;0;;
*KNP;;201465;95793054;437916954;-1.07;;;0;;
*KNP;;201458;95785957;437799706;-1.92;;;0;;
*KNP;;200028;96109393;437359765;0.58;;;0;;
*KNP;;200030;96182674;437334042;-1.56;;;0;;
*KNP;;200057;96191429;437334878;-1.35;;;0;;
*KNP;;200896;95436499;436699606;3.81;;;0;;
*KNP;;200291;95370660;437266560;-0.82;;;0;;
*KNP;;200775;95688820;437511090;-1.54;;;0;;
*KNP;;200773;95596880;437536190;-1.45;;;0;;
*KNP;;200771;95584502;437489457;-1.15;;;0;;
*KNP;;200723;95514720;437557380;-1.45;;;0;;
*KNP;;201820;95713801;437491009;-1.25;;;0;;
*KNP;;201821;95710826;437484758;-1.25;;;0;;
*KNP;;201822;95675650;437400880;-1.81;;;0;;
*KNP;;201823;95640490;437316880;-1.82;;;0;;
*KNP;;200778;95674985;437476716;-1.57;;;0;;
*KNP;;200794;95740960;437695920;-1.97;;;0;;
*KNP;;200793;95724901;437658598;-1.94;;;0;;
*KNP;;200792;95708100;437619760;-1.76;;;0;;
*KNP;;200791;95691790;437581640;-2.12;;;0;;
*KNP;;200790;95682840;437560840;-2.11;;;0;;
*KNP;;200789;95680730;437555360;-2.15;;;0;;
*KNP;;200788;95708701;437528185;-1.25;;;0;;
*KNP;;200786;95717386;437531040;-1.25;;;0;;
*KNP;;200782;95725410;437502530;-1.25;;;0;;
*KNP;;200781;95707622;437492598;-1.82;;;0;;
*KNP;;200777;95681829;437494279;-1.69;;;0;;
*KNP;;200826;95972313;437467244;-1.65;;;0;;
*KNP;;200824;95927050;437479353;-1.45;;;0;;
*KNP;;200759;95576115;437235184;-1.53;;;0;;
*KNP;;200743;95577194;437224150;-1.72;;;0;;
*KNP;;200738;95551236;437230028;-1.60;;;0;;
*KNP;;200767;95594920;437281346;-1.60;;;0;;
*KNP;;200740;95573614;437224963;-1.58;;;0;;
